"FALSE","obs","pred"
"1",0,0.273902376033058
"2",0,0.459590316573557
"3",0,0.812841530054645
"4",0,0.274952380952381
"5",0,0.169546247818499
"6",0,0.146527777777778
"7",0,0.443330039525692
"8",0,0.255064456721915
"9",0,0.466485507246377
"10",0,0.306362007168459
"11",0,0.072020725388601
"12",0,0.039336917562724
"13",0,0.562522522522523
"14",0,0.0371951219512195
"15",0,0.41415770609319
"16",0,0.319281045751634
"17",0,0.522794117647059
"18",0,0.163428571428571
"19",0,0.509416195856874
"20",0,0.0220306513409962
"21",0,0.204464285714286
"22",0,0.0319526627218935
"23",0,0.294329388560158
"24",0,0.296446700507614
"25",0,0.0142276422764228
"26",0,0.919875222816399
"27",0,0.293333333333333
"28",0,0.636567164179105
"29",0,0.278426395939086
"30",0,0.769270833333333
"31",0,0.166759259259259
"32",0,0.0357954545454545
"33",0,0.0584269662921348
"34",0,0.425138121546961
"35",0,0.329381443298969
"36",0,0.229525089605735
"37",0,0.392254901960784
"38",0,0.0336700336700337
"39",0,0.823007246376812
"40",0,0.0198830409356724
"41",0,0.442329545454545
"42",0,0.230019493177388
"43",0,0.0624767225325884
"44",0,0.40650623885918
"45",0,0.425046554934823
"46",0,0.855392156862745
"47",0,0.714708994708995
"48",0,0.0247697974217311
"49",0,0.152957603452653
"50",0,0.19962962962963
"51",0,0.0860308285163775
"52",0,0.203277153558052
"53",0,0.347101449275362
"54",0,0.665953654188948
"55",0,0.0344827586206897
"56",0,0.206574074074074
"57",0,0.197003745318352
"58",0,0.432897033158813
"59",0,0.407594562647754
"60",0,0.348624159528415
"61",0,0.336036036036036
"62",0,0.0999118165784833
"63",0,0.421402550091075
"64",0,0.262106135986733
"65",0,0.477131782945736
"66",0,0.13287037037037
"67",0,0.261928104575164
"68",0,0.209340659340659
"69",0,0.0994845360824743
"70",0,0.12280701754386
"71",0,0.222565543071161
"72",0,0.177867383512545
"73",0,0.356804733727811
"74",0,0.148183177531004
"75",0,0.442894736842105
"76",0,0.465355628827131
"77",0,0.0792603453893777
"78",0,0.185675675675676
"79",0,0.561496913580247
"80",0,0.161053540587219
"81",0,0.0739341085271318
"82",0,0.158430232558139
"83",0,0.448989898989899
"84",0,0.383908045977011
"85",0,0.19020618556701
"86",0,0.216206261510129
"87",0,0.342666666666667
"88",0,0.205612244897959
"89",0,0.55009009009009
"90",0,0.449479166666667
"91",0,0.263162878787879
"92",0,0.314799635701275
"93",0,0.00333333333333335
"94",0,0.32689594356261
"95",0,0.0769927536231884
"96",0,0.385912698412698
"97",0,0.395274914089347
"98",0,0.272957516339869
"99",0,0.140823970037453
"100",0,0.687885154061625
"101",0,0.650558659217877
"102",0,0.177777777777778
"103",0,0.0867030965391621
"104",0,0.216572504708098
"105",0,0.229920212765958
"106",0,0.0760952380952379
"107",0,0.31369982547993
"108",0,0.0442982456140351
"109",0,0.268235294117647
"110",0,0.0895348837209303
"111",0,0.524592212575638
"112",0,0.486252354048964
"113",0,0.267050264550265
"114",0,0.469141414141414
"115",0,0.211997717308598
"116",0,0.556139646869984
"117",0,0.154054054054054
"118",0,0.155050290409406
"119",0,0.458793969849246
"120",0,0.0810688405797101
"121",0,0.228147885948638
"122",0,0.0150273224043716
"123",0,0.331444991789819
"124",0,0.376111111111111
"125",0,0.0475791433891992
"126",0,0.101381215469613
"127",0,0.479417670682731
"128",0,0.524711186249648
"129",0,0.188565891472868
"130",0,0.655739459815547
"131",0,0.173958333333333
"132",0,0.234229390681003
"133",0,0.0727272727272728
"134",0,0.312585034013605
"135",0,0.313829787234042
"136",0,0.651762187088274
"137",0,0.367702448210923
"138",0,0.489084048920114
"139",0,0.65374251497006
"140",0,0.367308286951144
"141",0,0.316304347826087
"142",0,0.331725888324873
"143",0,0.153669925580038
"144",0,0.534671738517892
"145",0,0.204583333333333
"146",0,0.417948717948718
"147",0,0.220574207346052
"148",0,0.105442176870748
"149",0,0.346724470134875
"150",0,0.783774250440917
"151",0,0.180992509363296
"152",0,0.415614035087719
"153",0,0.102226357871519
"154",0,0.66957671957672
"155",0,0.27741116751269
"156",0,0.175479930191972
"157",0,0.282227891156463
"158",0,0.241419141914191
"159",0,0.739109848484848
"160",0,0.80325411946155
"161",0,0.0732142857142857
"162",0,0.0852596314907873
"163",0,0.703591160220995
"164",0,0.351930130752681
"165",0,0.343576388888889
"166",0,0.304755892255892
"167",0,0.392633517495396
"168",0,0.521422338568935
"169",0,0.148090277777778
"170",0,0.0209072978303748
"171",0,0.01640625
"172",0,0.490537240537241
"173",0,0.0898745519713262
"174",0,0.104761904761905
"175",0,0.314161554192229
"176",0,0.00142045454545453
"177",0,0.729857690202518
"178",0,0.397704081632653
"179",0,0.208333333333334
"180",0,0.226388888888889
"181",0,0.0907630522088353
"182",0,0.168529411764706
"183",0,0.361749482401656
"184",0,0.0181818181818182
"185",0,0.270252779046749
"186",0,0.239513108614232
"187",0,0.00828729281767954
"188",0,0.204895833333333
"189",0,0.068527918781726
"190",0,0.305296242052823
"191",0,0.0303867403314917
"192",0,0.709345238095238
"193",0,0.592003853564547
"194",0,0.031896551724138
"195",0,0.0746666666666668
"196",0,0
"197",0,0.0057471264367816
"198",0,0.903714285714286
"199",0,0.163107638888889
"200",0,0
"201",0,0.166837606837607
"202",0,0.179916666666667
"203",0,0.783189033189033
"204",0,0.00555555555555559
"205",0,0.450506852647798
"206",0,0.547979797979798
"207",0,0.5415273556231
"208",0,0.0669179229480736
"209",0,0.0353832442067736
"210",0,0.467401960784314
"211",0,0.79596394984326
"212",0,0.453297682709447
"213",0,0.373083778966132
"214",0,0.462250745799969
"215",0,0.103168044077135
"216",0,0.478571428571429
"217",0,0.227610441767068
"218",0,0.0473684210526316
"219",0,0.145340501792114
"220",0,0.167047619047619
"221",0,0.460813720966005
"222",0,0.268836291913215
"223",0,0.0568901303538175
"224",0,0.43219298245614
"225",0,0.115091210613599
"226",0,0.208813263525305
"227",0,0.376775956284153
"228",0,0.284990253411306
"229",0,0.0730769230769232
"230",0,0.688769581906837
"231",0,0.225293111871031
"232",0,0.0579935125115848
"233",0,0.379612511671335
"234",0,0.0140562248995985
"235",0,0.0856410256410256
"236",0,0.262326388888889
"237",0,0.153499079189687
"238",0,0.355415741426104
"239",0,0.433851468048359
"240",0,0.23719298245614
"241",0,0.216281310211946
"242",0,0.113409961685824
"243",0,0.0134020618556701
"244",0,0.574305555555556
"245",0,0.137215909090909
"246",0,0.183058608058608
"247",0,0.272451633035157
"248",0,0.20092440336498
"249",0,0.397105263157895
"250",0,0.0240740740740741
"251",0,0.79821159232924
"252",0,0.418285714285714
"253",0,0.439441685765215
"254",0,0.313575374901342
"255",0,0.259574468085106
"256",0,0.268723510346547
"257",0,0.0267441860465116
"258",0,0.0285223367697595
"259",0,0.0464618249534451
"260",0,0.694326241134752
"261",0,0.449147727272727
"262",0,0.280610561056106
"263",0,0.357720057720058
"264",0,0.0824372759856631
"265",0,0.287901861252115
"266",0,0.098306595365419
"267",0,0.656050629206907
"268",0,0.0162210338680927
"269",0,0.39256120527307
"270",0,0.0532407407407406
"271",0,0.0222789115646258
"272",0,0.233632734530938
"273",0,0.35261021068336
"274",0,0.310373958098671
"275",0,0.458333333333333
"276",0,0.109288194444444
"277",0,0.698315602836879
"278",0,0.172113594040968
"279",0,0.552380952380952
"280",0,0.0419607843137255
"281",0,0.726105802660207
"282",0,0.228014720709821
"283",0,0.566553731319117
"284",0,0.165260991417061
"285",0,0.494952380952381
"286",0,0.184205933682373
"287",0,0.340969802555168
"288",0,0.537047101449275
"289",0,0.0842644320297952
"290",0,0.201247771836007
"291",0,0.39780701754386
"292",0,0.232722513089005
"293",0,0.150173611111111
"294",0,0.0785037878787879
"295",0,0.124808429118774
"296",0,0.936703096539162
"297",0,0.0230691056910569
"298",0,0.38496996996997
"299",0,0.849542124542124
"300",0,0.0757657657657657
"301",0,0.0999999999999999
"302",0,0.165572390572391
"303",0,0.46881390593047
"304",0,0.77078431372549
"305",0,0.0893258426966292
"306",0,0.243371212121212
"307",0,0.0894594594594594
"308",0,0.205681422098292
"309",0,0.468333333333333
"310",0,0.608243727598566
"311",0,0.458288770053476
"312",0,0.179920169436298
"313",0,0.316375291375291
"314",0,0.10182140554481
"315",0,0.253900709219858
"316",0,0.0248188405797102
"317",0,0.315377532228361
"318",0,0.298587570621469
"319",0,0.0252525252525253
"320",0,0.407770954009352
"321",0,0.131641285956007
"322",0,0.423369565217391
"323",0,0.0111801242236025
"324",0,0.0895726495726494
"325",0,0.24101998824221
"326",0,0.0671195652173913
